0.00000,0.00000,29.00000
0.00000,0.00000,29.00000
-0.00000,0.00000,29.00000
-0.00000,0.00000,29.00000
-0.00000,-0.00000,29.00000
0.00000,17.00000,12.00000
0.00000,12.02082,24.02082
-0.00000,-12.02082,24.02082
-0.00000,-17.00000,12.00000
0.00000,10.00000,19.00000
0.00000,7.07107,26.07107
-0.00000,-7.07107,26.07107
-0.00000,-10.00000,19.00000
7.00000,-0.00000,2.00000
7.00000,0.00000,2.00000
10.57107,10.57107,16.94975
10.57107,-10.57107,16.94975
0.00000,14.94975,16.94975
5.00000,5.00000,26.07107
8.50000,8.50000,24.02082
7.36122,4.25000,26.72243
-2.50000,-4.33013,27.66025
-2.50000,4.33013,27.66025
-1.29904,0.75000,26.72243
15.18574,4.06901,12.91181
-2.71035,-10.11516,23.76148
15.18574,-4.06901,12.91181
-4.44140,7.69273,25.83255
-4.30500,-4.30500,27.72144
-0.00000,-1.50000,26.72243
-12.75000,-7.36122,20.50000
-12.75000,7.36122,20.50000
-0.00000,1.50000,26.72243
5.53109,9.58013,24.16025
5.53109,-9.58013,24.16025
